BestellID,Bestelldatum,Bestellart,Lieferant,Artikelnummer,Artikelbeschreibung,Menge,Einheit,PreisProEinheit,Bestellstatus
46,2024-11-04,Standardbestellung,Continental AG,CO-TU-MTB,Fahrradschlauch MTB 26/27.5/29,250,Stück,3.50,Geliefert
47,2024-11-11,Eilbestellung,Shimano GmbH,SH-HB-M7110,Vorderradnabe SLX HB-M7110,40,Stück,35.00,Geliefert
48,2024-11-18,Standardbestellung,SRAM Corporation,SR-BB-DUB-PF,Innenlager DUB Pressfit,25,Stück,38.00,Geliefert
49,2024-11-25,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT4,Bremshebel MT4,50,Stück,45.00,Geliefert
50,2024-12-02,Standardbestellung,Selle Italia S.r.l.,SI-KI-SLR,Fahrradsattel SLR,35,Stück,165.00,Geliefert
51,2024-12-09,Eilbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,90,Stück,28.00,Geliefert
52,2024-12-16,Standardbestellung,Shimano GmbH,SH-RD-M5100,Schaltwerk Deore RD-M5100-SGS,70,Stück,48.00,Geliefert
53,2024-12-23,Standardbestellung,SRAM Corporation,SR-CS-PG1210,Kassette PG-1210 Eagle 12-fach,100,Stück,40.00,Geliefert
54,2025-01-06,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 180mm,50,Stück,40.00,Geliefert
55,2025-01-13,Standardbestellung,Selle Italia S.r.l.,SI-GR-NEOPRE,Fahrradgriffe Neopren,80,Paar,15.00,Geliefert
56,2025-01-20,Standardbestellung,Continental AG,CO-TU-TOUR,Fahrradschlauch Tour 28,100,Stück,3.00,Geliefert
57,2025-01-27,Eilbestellung,Shimano GmbH,SH-HB-M6110,Vorderradnabe Deore HB-M6110,60,Stück,28.00,Geliefert
58,2025-02-03,Standardbestellung,SRAM Corporation,SR-BB-DUB-TR,Innenlager DUB Tretlager,30,Stück,25.00,Geliefert
59,2025-02-10,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT2,Bremshebel MT2,65,Stück,35.00,Geliefert
60,2025-02-17,Standardbestellung,Selle Italia S.r.l.,SI-KI-NOVUS,Fahrradsattel Novus Boost,40,Stück,80.00,Geliefert
61,2025-02-24,Eilbestellung,Continental AG,CO-RE-XKING,Fahrradreifen X-King 2.2,75,Stück,36.00,Geliefert
62,2025-03-03,Standardbestellung,Shimano GmbH,SH-RD-M4120,Schaltwerk Alivio RD-M4120-SGS,90,Stück,38.00,Geliefert
63,2025-03-10,Standardbestellung,SRAM Corporation,SR-CN-SX12,Kette SX Eagle 12-fach,110,Stück,18.00,Geliefert
64,2025-03-17,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-CL,Bremsscheibe Centerlock 180mm,45,Stück,30.00,Geliefert
65,2025-03-24,Standardbestellung,Selle Italia S.r.l.,SI-BA-NET,Fahrradsattel Net,30,Stück,55.00,Geliefert
66,2025-03-31,Standardbestellung,Continental AG,CO-TU-CITY,Fahrradschlauch City/Tour,160,Stück,2.80,Geliefert
67,2025-04-07,Eilbestellung,Shimano GmbH,SH-FH-M6110,Hinterradnabe Deore FH-M6110,50,Stück,42.00,Geliefert
68,2025-04-14,Standardbestellung,SRAM Corporation,SR-FC-SX1,Kurbelgarnitur SX Eagle,45,Stück,95.00,Bestellt
